"행정구역별(읍면동)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"행정구역별(읍면동)",총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
"단원구",358030,188840,169190,297719,153096,144623,60311,35744,24567,141188,118188,193,22807,102087,7745,63149,7933,22612,648,9440
"고양시",1024645,501941,522704,1005549,491852,513697,19096,10089,9007,390836,385021,220,5595,327782,21053,257821,11267,35987,1654,33730
"덕양구",448571,221937,226634,441142,218274,222868,7429,3663,3766,174973,172880,88,2005,152055,9729,113181,4989,23257,899,9165
"일산동구",287041,139807,147234,280372,135930,144442,6669,3877,2792,111229,109198,98,1933,81576,7653,61287,4109,8088,439,19159
"일산서구",289033,140197,148836,284035,137648,146387,4998,2549,2449,104634,102943,34,1657,94151,3671,83353,2169,4642,316,5406
"과천시",53830,26584,27246,53413,26355,27058,417,229,188,19023,18901,11,111,13008,1712,9063,276,1858,99,463
"구리시",192270,95221,97049,190207,94208,95999,2063,1013,1050,72624,71974,26,624,58998,5135,45600,2311,5480,472,1722
"남양주시",681077,339886,341191,670201,333319,336882,10876,6567,4309,246337,243802,192,2343,233886,16869,178468,11370,25625,1554,6937
"오산시",233998,120893,113105,218910,112986,105924,15088,7907,7181,93117,87151,64,5902,81342,5233,65992,1561,7996,560,2356
"시흥시",508749,269625,239124,458466,239821,218645,50283,29804,20479,198515,178734,151,19630,164258,7331,129151,1642,24821,1313,11537
"군포시",275154,136614,138540,264719,131183,133536,10435,5431,5004,104573,100586,66,3921,90977,3579,73838,1197,11891,472,3667
"의왕시",155826,77677,78149,154005,76719,77286,1821,958,863,57588,57061,33,494,52452,2731,40119,715,8639,248,1495
"하남시",260544,130979,129565,256981,128909,128072,3563,2070,1493,102261,101231,28,1002,79750,6213,69856,1137,1920,624,10461
"용인시",1052529,525139,527390,1024132,508761,515371,28397,16378,12019,379061,371752,306,7003,344619,29652,270018,11098,32108,1743,13382
"처인구",266647,138547,128100,252024,129137,122887,14623,9410,5213,99739,95858,165,3716,90135,18945,41230,5895,22805,1260,4056
"기흥구",434075,214565,219510,424982,209966,215016,9093,4599,4494,153278,151111,84,2083,138940,7185,121269,3348,6829,309,4501
"수지구",351807,172027,179780,347126,169658,177468,4681,2369,2312,126044,124783,57,1204,115544,3522,107519,1855,2474,174,4825
"파주시",454328,233834,220494,437840,222198,215642,16488,11636,4852,167957,164306,194,3457,152606,26287,106461,3757,14780,1321,7346
"이천시",222995,115769,107226,211978,109094,102884,11017,6675,4342,83144,80367,120,2657,75940,22103,38599,3344,10701,1193,3724
"안성시",202284,105953,96331,184506,94517,89989,17778,11436,6342,79302,74066,185,5051,74462,21480,44928,2685,4479,890,3614
"김포시",442910,229269,213641,414839,207712,207127,28071,21557,6514,162871,156040,113,6718,146321,13184,119238,4593,8392,914,9604
"화성시",838635,444058,394577,781512,403808,377704,57123,40250,16873,312599,298397,410,13792,285879,32425,230138,4406,16960,1950,21378
